No,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
295,AIRO,AIRO Group Holdings Inc,Industrials,Aerospace & Defense,USA,273.80M,-,8.71,5.96%,"637,330"
296,AIRR,First Trust RBA American Industrial Renaissance ETF,Financial,Exchange Traded Fund,USA,-,-,112.87,-0.26%,"517,569"
297,AIRS,Airsculpt Technologies Inc,Healthcare,Medical Care Facilities,USA,223.63M,-,3.17,16.12%,"3,424,707"
298,AIRT,Air T Inc,Industrials,Conglomerates,USA,58.65M,-,21.70,1.69%,"1,735"
299,AIS,VistaShares Artificial Intelligence Supercycle ETF,Financial,Exchange Traded Fund,USA,-,-,43.33,0.12%,"81,978"
300,AISP,Airship AI Holdings Inc,Technology,Software - Infrastructure,USA,77.34M,3.11,2.25,-0.88%,"400,855"
301,AIT,Applied Industrial Technologies Inc,Industrials,Industrial Distribution,USA,9.96B,25.42,267.12,-0.83%,"139,688"
302,AIUP,FINQ FIRST U.S. Large Cap AI-Managed Equity ETF,Financial,Exchange Traded Fund,USA,-,-,23.88,0.38%,207
303,AIV,Apartment Investment & Management Co,Real Estate,REIT - Residential,USA,582.67M,-,4.05,0.75%,"1,396,499"
304,AIVC,Amplify Bloomberg AI Value Chain ETF,Financial,Exchange Traded Fund,USA,-,-,71.25,0.58%,"1,948"
305,AIVI,WisdomTree International AI Enhanced Value Fund,Financial,Exchange Traded Fund,USA,-,-,54.57,-0.42%,"1,607"
306,AIVL,WisdomTree U.S. AI Enhanced Value Fund,Financial,Exchange Traded Fund,USA,-,-,117.40,0.51%,467
307,AIXC,AIxCrypto Holdings Inc,Technology,Software - Infrastructure,USA,25.90M,-,1.28,3.23%,"21,617"
308,AIXI,Xiao-I Corp ADR,Technology,Software - Application,China,1.76M,-,0.13,33.10%,"218,493,016"
309,AIYY,YieldMax AI Option Income Strategy ETF,Financial,Exchange Traded Fund,USA,-,-,9.84,-1.70%,"30,713"
310,AIZ,Assurant Inc,Financial,Insurance - Property & Casualty,USA,10.85B,12.83,218.26,0.89%,"288,398"
311,AJAN,Innovator Equity Defined Protection ETF - 2 Yr to January 2028,Financial,Exchange Traded Fund,USA,-,-,27.69,0.07%,"9,618"
312,AJG,Arthur J. Gallagher & Co,Financial,Insurance Brokers,USA,55.95B,37.86,217.61,0.59%,"1,730,654"
313,AJUL,Innovator Equity Defined Protection ETF - 2 Yr to July 2026,Financial,Exchange Traded Fund,USA,-,-,29.10,0.09%,"6,095"
314,AKA,a.k.a. Brands Holding Corp,Consumer Cyclical,Apparel Retail,USA,113.44M,-,10.49,3.84%,"2,778"
315,AKAF,The Frontier Economic Fund,Financial,Exchange Traded Fund,USA,-,-,31.15,0.27%,13
