No,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Change_Pct,PE_Ratio,Market_Cap_USD,Vol_Intensity,Cluster
265,AIBU,Direxion Daily AI and Big Data Bull 2X ETF,Financial,Exchange Traded Fund,USA,-,-,37.73,1.76%,2959,1.76,19.07,,,0
266,AIDX,20/20 Biolabs Inc,Healthcare,Medical Devices,USA,9.96M,-,1.83,-2.66%,57068,-2.66,19.07,9960000.0,0.005729718300229086,0
267,AIEQ,Amplify AI Powered Equity ETF,Financial,Exchange Traded Fund,USA,-,-,43.6,0.12%,2670,0.12,19.07,,,0
268,AIFD,TCW Artificial Intelligence ETF,Financial,Exchange Traded Fund,USA,-,-,39.82,0.86%,6986,0.86,19.07,,,0
269,AIFF,Firefly Neuroscience Inc,Technology,Software - Application,USA,31.36M,-,2.12,-5.36%,974442,-5.36,19.07,31360000.0,0.031072766866302077,0
270,AIFU,AIFU Inc,Financial,Insurance Brokers,China,170.77M,-,1.47,6.67%,2015,6.67,19.07,170770000.0,1.1799496329569032e-05,0
271,AIG,American International Group Inc,Financial,Insurance - Diversified,USA,40.47B,13.92,75.42,-0.19%,2294433,-0.19,13.92,40470000000.0,5.669466271171992e-05,0
272,AIHS,Senmiao Technology Ltd,Industrials,Rental & Leasing Services,China,5.33M,-,1.17,2.63%,45023,2.63,19.07,5330000.0,0.008447090347637834,0
273,AII,American Integrity Insurance Group Inc,Financial,Insurance - Property & Casualty,USA,375.72M,0.06,19.19,1.43%,65356,1.43,0.06,375720000.0,0.0001739486847281255,0
274,AIIA,AI Infrastructure Acquisition Corp,Financial,Shell Companies,USA,193.67M,-,10.04,0.00%,12,0.0,19.07,193670000.0,6.196106747580386e-08,0
275,AIIO,Robo.ai Inc,Consumer Cyclical,Auto Manufacturers,United Arab Emirates,25.92M,-,0.07,-22.65%,5558029,-22.65,19.07,25920000.0,0.2144301229000724,0
276,AIM,AIM ImmunoTech Inc,Healthcare,Biotechnology,USA,4.85M,-,0.6,8.18%,194431,8.18,19.07,4850000.0,0.040088857713637585,0
277,AIMD,Ainos Inc,Technology,Scientific & Technical Instruments,USA,10.46M,-,1.44,0.00%,4886,0.0,19.07,10460000.0,0.0004671127660504048,0
278,AIMS,Acuitas Small Cap Active ETF,Financial,Exchange Traded Fund,USA,-,-,24.04,0.47%,1989,0.47,19.07,,,0
279,AIN,Albany International Corp,Consumer Cyclical,Textile Manufacturing,USA,1.48B,-,52.26,-3.11%,245311,-3.11,19.07,1480000000.0,0.00016575067556368197,0
280,AINP,Allspring Income Plus ETF,Financial,Exchange Traded Fund,USA,-,-,24.91,0.15%,539,0.15,19.07,,,0
281,AINT,FINQ DOLLAR NEUTRAL U.S. Large Cap AI-Managed Equity ETF,Financial,Exchange Traded Fund,USA,-,-,24.84,0.20%,6,0.2,19.07,,,0
