No,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Change_Pct,PE_Ratio,Market_Cap_USD,Vol_Intensity,Cluster
488,AOMR,Angel Oak Mortgage REIT Inc,Real Estate,REIT - Mortgage,USA,203.30M,4.52,8.16,0.12%,51881,0.12,4.52,203300000.0,0.00025519429289132175,0
489,AON,Aon plc,Financial,Insurance Brokers,Ireland,69.23B,18.98,323.14,0.56%,1124001,0.56,18.98,69230000000.0,1.6235750396992116e-05,0
490,AOR,iShares Core 60/40 Balanced Allocation ETF,Financial,Exchange Traded Fund,USA,-,-,64.39,-0.54%,297039,-0.54,19.07,,,0
491,AORT,Artivion Inc,Healthcare,Medical Devices,USA,1.64B,171.11,34.17,0.03%,448179,0.03,171.11,1640000000.0,0.0002732798778821464,0
492,AOS,A.O. Smith Corp,Industrials,Specialty Industrial Machinery,USA,8.90B,16.73,64.35,-1.12%,1132415,-1.12,16.73,8900000000.0,0.00012723764043514184,0
493,AOSL,Alpha & Omega Semiconductor Ltd,Technology,Semiconductors,USA,675.87M,-,22.71,-0.57%,167605,-0.57,19.07,675870000.0,0.00024798407941174473,0
494,AOTG,AOT Growth and Innovation ETF,Financial,Exchange Traded Fund,USA,-,-,48.24,0.39%,2618,0.39,19.07,,,0
495,AOTS,AOT Software Platform ETF,Financial,Exchange Traded Fund,USA,-,-,21.15,0.59%,103,0.59,19.07,,,0
496,AOUT,American Outdoor Brands Inc,Consumer Cyclical,Leisure,USA,113.74M,-,9.03,-1.20%,54152,-1.2,19.07,113740000.0,0.0004761033895190488,0
497,AP,Ampco-Pittsburgh Corp,Industrials,Metal Fabrication,USA,145.74M,-,7.17,-0.42%,105159,-0.42,19.07,145740000.0,0.0007215520740939202,0
498,APA,APA Corporation,Energy,Oil & Gas E&P,USA,14.85B,10.56,42.04,1.67%,9892124,1.67,10.56,14850000000.0,0.0006661362962514386,0
499,APAC,StoneBridge Acquisition II Corp,Financial,Shell Companies,USA,80.83M,269.71,10.06,0.10%,3,0.1,269.71,80830000.0,3.711493211536642e-08,0
500,APAD,A Paradise Acquisition Corp,Financial,Shell Companies,Hong Kong,277.30M,840.50,10.17,0.00%,29673,0.0,840.5,277300000.0,0.00010700685139918192,0
501,APAM,Artisan Partners Asset Management Inc,Financial,Asset Management,USA,2.95B,9.34,36.57,0.03%,1063725,0.03,9.34,2950000000.0,0.00036058474564047976,0
502,APC,ARKO Petroleum Corp,Energy,Oil & Gas Refining & Marketing,USA,835.51M,-,18.12,-0.22%,169805,-0.22,19.07,835510000.0,0.00020323514954550495,0
503,APCB,ActivePassive Core Bond ETF,Financial,Exchange Traded Fund,USA,-,-,29.44,0.24%,67363,0.24,19.07,,,0
504,APD,Air Products & Chemicals Inc,Basic Materials,Specialty Chemicals,USA,65.36B,-,293.55,1.42%,1352253,1.42,19.07,65360000000.0,2.068930538524037e-05,0
505,APEI,American Public Education Inc,Consumer Defensive,Education & Training Services,USA,1.06B,42.58,57.66,0.28%,188690,0.28,42.58,1060000000.0,0.00017800943379433072,0
506,APG,APi Group Corporation,Industrials,Engineering & Construction,USA,18.30B,-,42.03,1.20%,2979536,1.2,19.07,18300000000.0,0.00016281617485449092,0
507,APGE,Apogee Therapeutics Inc,Healthcare,Biotechnology,USA,5.86B,-,84.34,0.12%,663242,0.12,19.07,5860000000.0,0.00011318122864962778,0
508,APH,Amphenol Corp,Technology,Electronic Components,USA,157.34B,38.33,128.0,0.23%,5584050,0.23,38.33,157340000000.0,3.5490339392173064e-05,0
509,APHU,T-REX 2X Long APH Daily Target ETF,Financial,Exchange Traded Fund,USA,-,-,17.75,-0.28%,1897,-0.28,19.07,,,0
510,API,Agora Inc ADR,Technology,Software - Application,China,272.56M,37.50,3.66,0.55%,142319,0.55,37.5,272560000.0,0.0005221565874590674,0
511,APIE,ActivePassive International Equity ETF,Financial,Exchange Traded Fund,USA,-,-,35.58,-0.34%,66324,-0.34,19.07,,,0
512,APLD,Applied Digital Corporation,Technology,Information Technology Services,USA,6.87B,-,24.56,0.29%,19646424,0.29,19.07,6870000000.0,0.002859741484299892,0
513,APLE,Apple Hospitality REIT Inc,Real Estate,REIT - Hotel & Motel,USA,2.72B,15.63,11.53,-0.17%,3246245,-0.17,15.63,2720000000.0,0.0011934724260318115,0
514,APLM,Apollomics Inc,Healthcare,Biotechnology,USA,15.62M,-,14.12,-4.08%,556,-4.08,19.07,15620000.0,3.559538824613391e-05,0
515,APLS,Apellis Pharmaceuticals Inc,Healthcare,Biotechnology,USA,5.17B,327.21,40.41,0.05%,10333522,0.05,327.21,5170000000.0,0.0019987470015476313,0
516,APLU,Allspring Core Plus ETF,Financial,Exchange Traded Fund,USA,-,-,24.74,0.23%,21348,0.23,19.07,,,0
517,APLX,Tradr 2X Long APLD Daily ETF,Financial,Exchange Traded Fund,USA,-,-,11.66,0.52%,2463499,0.52,19.07,,,0
518,APLY,YieldMax AAPL Option Income Strategy ETF,Financial,Exchange Traded Fund,USA,-,-,11.72,-0.42%,90463,-0.42,19.07,,,0
519,APLZ,Tradr 2X Short APLD Daily ETF,Financial,Exchange Traded Fund,USA,-,-,19.36,-0.62%,472517,-0.62,19.07,,,0
520,APM,Aptorum Group Ltd,Healthcare,Biotechnology,United Kingdom,7.54M,-,0.93,-2.93%,13025,-2.93,19.07,7540000.0,0.0017274533517966377,0
521,APMU,ActivePassive Intermediate Municipal Bond ETF,Financial,Exchange Traded Fund,USA,-,-,24.9,0.12%,12868,0.12,19.07,,,0
522,APO,Apollo Global Management Inc,Financial,Asset Management,USA,61.90B,19.57,107.04,-2.91%,5417158,-2.91,19.57,61900000000.0,8.75146688192647e-05,0
523,APOC,Innovator Equity Defined Protection ETF - 6mo Apr/Oct,Financial,Exchange Traded Fund,USA,-,-,25.82,-0.10%,28460,-0.1,19.07,,,0
524,APOG,Apogee Enterprises Inc,Industrials,Building Products & Equipment,USA,717.36M,18.03,33.35,-1.19%,161966,-1.19,18.03,717360000.0,0.00022578063981016416,0
525,APP,Applovin Corp,Communication Services,Advertising Agencies,USA,130.31B,40.89,386.37,-0.38%,3195443,-0.38,40.89,130310000000.0,2.4521855574978728e-05,0
526,APPF,Appfolio Inc,Technology,Software - Application,USA,5.65B,40.49,157.11,1.93%,222078,1.93,40.49,5650000000.0,3.9305840701007816e-05,0
527,APPN,Appian Corp,Technology,Software - Infrastructure,USA,1.81B,1548.73,24.47,1.75%,395393,1.75,1548.73,1810000000.0,0.00021844917115002808,0
528,APPS,Digital Turbine Inc,Technology,Software - Application,USA,346.51M,-,2.89,-2.69%,2002178,-2.69,19.07,346510000.0,0.005778124712769834,0
529,APPX,Tradr 2X Long APP Daily ETF,Financial,Exchange Traded Fund,USA,-,-,25.68,-0.81%,501896,-0.81,19.07,,,0
530,APRB,Aptus April Buffer ETF,Financial,Exchange Traded Fund,USA,-,-,25.39,-0.01%,9369,-0.01,19.07,,,0
531,APRE,Aprea Therapeutics Inc,Healthcare,Biotechnology,USA,8.19M,-,0.72,1.65%,108610,1.65,19.07,8189999.999999999,0.013261292642088812,0
532,APRH,Innovator Premium Income 20 Barrier ETF - April,Financial,Exchange Traded Fund,USA,-,-,24.65,0.31%,19017,0.31,19.07,,,0
533,APRJ,Innovator Premium Income 30 Barrier ETF - April,Financial,Exchange Traded Fund,USA,-,-,24.59,0.39%,7062,0.39,19.07,,,0
534,APRP,PGIM S&P 500 Buffer 12 ETF - April,Financial,Exchange Traded Fund,USA,-,-,30.49,0.09%,20334,0.09,19.07,,,0
535,APRT,AllianzIM U.S. Equity Buffer10 Apr ETF,Financial,Exchange Traded Fund,USA,-,-,42.71,0.06%,13296,0.06,19.07,,,0
536,APRW,AllianzIM U.S. Equity Buffer20 Apr ETF,Financial,Exchange Traded Fund,USA,-,-,35.53,0.10%,127128,0.1,19.07,,,0
537,APRZ,TrueShares Structured Outcome (April) ETF,Financial,Exchange Traded Fund,USA,-,-,35.92,0.09%,303,0.09,19.07,,,0
538,APT,Alpha Pro Tech Ltd,Industrials,Building Products & Equipment,Canada,45.22M,13.22,4.44,-6.72%,31068,-6.72,13.22,45220000.0,0.0006870411170490686,0
539,APTV,Aptiv PLC,Consumer Cyclical,Auto Parts,Switzerland,13.00B,80.28,60.99,-1.77%,4046773,-1.77,80.28,13000000000.0,0.0003112902307452854,0
540,APTV-WI,Aptiv PLC. - When Issued - Mar 2026,Consumer Cyclical,Auto Parts,Switzerland,13.00B,-,58.5,0.00%,0,0.0,19.07,13000000000.0,0.0,0
541,APUE,ActivePassive U.S. Equity ETF,Financial,Exchange Traded Fund,USA,-,-,40.37,0.02%,160179,0.02,19.07,,,0
542,APUS,Apimeds Pharmaceuticals US Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,23.64M,-,1.88,7.43%,31594,7.43,19.07,23640000.0,0.0013364635644473957,0
543,APVO,Aptevo Therapeutics Inc,Healthcare,Biotechnology,USA,4.93M,-,4.17,0.00%,21227,0.0,19.07,4930000.0,0.004305678639821777,0
544,APWC,Asia Pacific Wire & Cable Corp Ltd,Industrials,Electrical Equipment & Parts,Taiwan,27.42M,9.98,1.33,-3.64%,841,-3.64,9.98,27420000.0,3.067104191571693e-05,0
545,APXM,FT Vest U.S. Equity Max Buffer ETF - April,Financial,Exchange Traded Fund,USA,-,-,31.33,-0.02%,77,-0.02,19.07,,,0
546,APXT,Apex Treasury Corp,Financial,Shell Companies,USA,458.22M,-,9.97,-0.20%,607,-0.2,19.07,458220000.0,1.3246911934776064e-06,0
547,APYX,Apyx Medical Corp,Healthcare,Medical Devices,USA,153.93M,-,3.68,1.38%,44038,1.38,19.07,153930000.0,0.00028609107850262403,0
548,AQB,AquaBounty Technologies Inc,Consumer Defensive,Farm Products,USA,4.51M,-,0.88,-1.07%,10331,-1.07,19.07,4510000.0,0.002290686853506241,0
549,AQEC,AQE Core ETF,Financial,Exchange Traded Fund,USA,-,-,23.74,0.40%,14095,0.4,19.07,,,0
550,AQLT,iShares MSCI Global Quality Factor ETF,Financial,Exchange Traded Fund,USA,-,-,27.88,-0.24%,9984,-0.24,19.07,,,0
551,AQMS,Aqua Metals Inc,Industrials,Waste Management,USA,12.97M,-,3.87,-3.97%,36325,-3.97,19.07,12970000.0,0.0028006936930845263,0
552,AQN,Algonquin Power & Utilities Corp,Utilities,Utilities - Diversified,Canada,4.93B,28.11,6.23,0.00%,3593589,0.0,28.11,4930000000.0,0.0007289227179048839,0
553,AQST,Aquestive Therapeutics Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,504.05M,-,4.13,0.00%,914125,0.0,19.07,504050000.0,0.0018135601590842968,0
554,AQWA,Global X Clean Water ETF,Financial,Exchange Traded Fund,USA,-,-,19.12,-0.47%,8187,-0.47,19.07,,,0
555,AR,Antero Resources Corp,Energy,Oil & Gas E&P,USA,12.48B,19.94,40.45,-1.00%,6503493,-1.0,19.94,12480000000.0,0.0005211132211120902,0
556,ARAI,Arrive AI Inc,Technology,Software - Infrastructure,USA,26.27M,-,0.72,-16.25%,672947,-16.25,19.07,26270000.0,0.025616557837207544,0
557,ARAY,Accuray Inc,Healthcare,Medical Devices,USA,49.33M,-,0.42,6.82%,1331212,6.82,19.07,49330000.0,0.026985849848249546,0
558,ARB,AltShares Merger Arbitrage ETF,Financial,Exchange Traded Fund,USA,-,-,29.33,-0.01%,9709,-0.01,19.07,,,0
559,ARBB,ARB IOT Group Ltd,Technology,Information Technology Services,Singapore,7.56M,-,4.28,6.73%,692,6.73,19.07,7560000.0,9.153437942666939e-05,0
560,ARBE,Arbe Robotics Ltd,Technology,Scientific & Technical Instruments,Israel,78.50M,-,0.64,0.00%,544952,0.0,19.07,78500000.0,0.006942063605833585,0
561,ARBK,Argo Blockchain Plc ADR,Financial,Capital Markets,United Kingdom,0.92M,-,2.78,0.00%,23901,0.0,19.07,920000.0,0.0259793195876961,0
562,ARCB,ArcBest Corp,Industrials,Trucking,USA,2.24B,38.41,100.51,0.85%,226374,0.85,38.41,2240000000.0,0.00010105982138345544,0
563,ARCC,Ares Capital Corp,Financial,Asset Management,USA,12.99B,9.75,18.09,2.03%,6662869,2.03,9.75,12990000000.0,0.0005129229406841476,0
564,ARCI,Archimedes Tech SPAC Partners III Co,Financial,Shell Companies,USA,339.47M,-,9.9,0.41%,2327,0.41,19.07,339470000.0,6.854803055189551e-06,0
566,ARCM,Arrow Reserve Capital Management ETF,Financial,Exchange Traded Fund,USA,-,-,100.1,0.02%,77,0.02,19.07,,,0
567,ARCO,Arcos Dorados Holdings Inc,Consumer Cyclical,Restaurants,USA,1.76B,7.17,8.35,0.00%,379934,0.0,7.17,1760000000.0,0.00021587159078643658,0
568,ARCT,Arcturus Therapeutics Holdings Inc,Healthcare,Biotechnology,USA,228.24M,-,8.03,2.29%,504687,2.29,19.07,228240000.0,0.002211211872541133,0
569,ARCX,Tradr 2X Long ACHR Daily ETF,Financial,Exchange Traded Fund,USA,-,-,15.97,7.18%,26518,7.18,19.07,,,0
570,ARDC,Ares Dynamic Credit Allocation Fund Inc,Financial,Closed-End Fund - Debt,USA,287.11M,12.48,11.98,-1.32%,152393,-1.32,12.48,287110000.0,0.0005307826250190427,0
571,ARDT,Ardent Health Inc,Healthcare,Medical Care Facilities,USA,1.24B,9.02,8.66,-0.12%,300493,-0.12,9.02,1240000000.0,0.00024233306432069914,0
572,ARDX,Ardelyx Inc,Healthcare,Biotechnology,USA,1.46B,-,5.94,-2.78%,2398344,-2.78,19.07,1460000000.0,0.0016427013687378758,0
573,ARE,Alexandria Real Estate Equities Inc,Real Estate,REIT - Office,USA,7.49B,-,43.23,-0.14%,4102098,-0.14,19.07,7490000000.0,0.0005476766354408977,0
574,AREB,American Rebel Holdings Inc,Consumer Cyclical,Footwear & Accessories,USA,1.60M,-,6.46,0.00%,0,0.0,19.07,1600000.0,0.0,0
575,AREC,American Resources Corporation,Basic Materials,Coking Coal,USA,248.41M,-,2.45,4.70%,3878982,4.7,19.07,248410000.0,0.015615240869468859,0
576,AREN,Arena Group Holdings Inc,Communication Services,Internet Content & Information,USA,92.83M,0.74,1.95,-4.41%,71393,-4.41,0.74,92830000.0,0.0007690724898300927,0
577,ARES,Ares Management Corp,Financial,Asset Management,USA,33.75B,58.58,102.43,-3.19%,5073222,-3.19,58.58,33750000000.0,0.00015031768888443503,0
578,ARGT,Global X MSCI Argentina ETF,Financial,Exchange Traded Fund,USA,-,-,93.89,0.73%,370713,0.73,19.07,,,0
579,ARGX,Argen X SE ADR,Healthcare,Biotechnology,Netherlands,46.19B,38.11,746.42,0.44%,372184,0.44,38.11,46190000000.0,8.057674821215466e-06,0
580,ARHS,Arhaus Inc,Consumer Cyclical,Specialty Retail,USA,900.36M,13.41,6.38,-2.45%,1255351,-2.45,13.41,900360000.0,0.0013942767322023672,0
581,ARI,Apollo Commercial Real Estate Finance Inc,Real Estate,REIT - Mortgage,USA,1.48B,13.23,10.63,0.95%,1328272,0.95,13.23,1480000000.0,0.000897481080474675,0
582,ARIS,Aris Mining Corp,Basic Materials,Gold,Canada,3.98B,51.15,19.31,-1.53%,1444202,-1.53,51.15,3980000000.0,0.00036286482402943097,0
583,ARKB,ARK 21Shares Bitcoin ETF,Financial,Exchange Traded Fund,USA,-,-,22.24,-1.68%,4262905,-1.68,19.07,,,0
584,ARKD,ARK DIET Q1 Buffer ETF,Financial,Exchange Traded Fund,USA,-,-,18.78,0.11%,86,0.11,19.07,,,0
585,ARKF,ARK Blockchain & Fintech Innovation ETF,Financial,Exchange Traded Fund,USA,-,-,38.07,0.34%,125625,0.34,19.07,,,0
586,ARKG,ARK Genomic Revolution ETF,Financial,Exchange Traded Fund,USA,-,-,27.36,1.00%,2144518,1.0,19.07,,,0
587,ARKI,ARK DIET Q2 Buffer ETF,Financial,Exchange Traded Fund,USA,-,-,20.25,0.10%,1878,0.1,19.07,,,0
588,ARKK,ARK Innovation ETF,Financial,Exchange Traded Fund,USA,-,-,68.56,0.23%,11724588,0.23,19.07,,,0
589,ARKO,ARKO Corp,Consumer Cyclical,Specialty Retail,USA,626.54M,38.18,5.65,-1.22%,501555,-1.22,38.18,626540000.0,0.000800515528457057,0
590,ARKQ,ARK Autonomous Technology & Robotics ETF,Financial,Exchange Traded Fund,USA,-,-,114.9,0.34%,178601,0.34,19.07,,,0
591,ARKR,Ark Restaurants Corp,Consumer Cyclical,Restaurants,USA,23.80M,-,6.6,-3.23%,1777,-3.23,19.07,23800000.0,7.466386240908142e-05,0
592,ARKT,ARK DIET Q4 Buffer ETF,Financial,Exchange Traded Fund,USA,-,-,17.78,-0.08%,890,-0.08,19.07,,,0
593,ARKW,ARK Next Generation Internet ETF,Financial,Exchange Traded Fund,USA,-,-,121.6,0.26%,124122,0.26,19.07,,,0
594,ARKX,ARK Space & Defense Innovation ETF,Financial,Exchange Traded Fund,USA,-,-,30.32,1.37%,710247,1.37,19.07,,,0
595,ARL,American Realty Investors Inc,Real Estate,Real Estate Services,USA,237.76M,15.14,14.72,-3.22%,628,-3.22,15.14,237760000.0,2.641318966010603e-06,0
596,ARLI,AllianzIM International Equity Buffer15 Uncapped Apr ETF,Financial,Exchange Traded Fund,USA,-,-,25.02,-0.44%,5916,-0.44,19.07,,,0
597,ARLO,Arlo Technologies Inc,Industrials,Building Products & Equipment,USA,1.50B,103.39,14.03,-0.57%,584368,-0.57,103.39,1500000000.0,0.00038957866640694754,0
598,ARLP,"Alliance Resource Partners, LP",Energy,Thermal Coal,USA,3.62B,11.74,28.17,2.18%,194670,2.18,11.74,3620000000.0,5.3776243079067334e-05,0
599,ARLU,AllianzIM U.S. Equity Buffer15 Uncapped Apr ETF,Financial,Exchange Traded Fund,USA,-,-,28.86,0.11%,17534,0.11,19.07,,,0
600,ARM,Arm Holdings plc. ADR,Technology,Semiconductors,United Kingdom,158.35B,198.68,149.11,-3.84%,8141912,-3.84,198.68,158350000000.0,5.141718976917324e-05,0
601,ARMG,Leverage Shares 2X Long ARM Daily ETF,Financial,Exchange Traded Fund,USA,-,-,9.4,-7.84%,685529,-7.84,19.07,,,0
602,ARMH,Arm Holdings PLC ADRhedged,Financial,Exchange Traded Fund,USA,-,-,63.86,-3.05%,1088,-3.05,19.07,,,0
603,ARMK,Aramark,Industrials,Specialty Business Services,USA,11.18B,35.78,42.55,1.60%,2616592,1.6,35.78,11180000000.0,0.0002340422182259354,0
604,ARMP,Armata Pharmaceuticals Inc,Healthcare,Biotechnology,USA,372.92M,-,10.18,-3.60%,22946,-3.6,19.07,372920000.0,6.153062302496346e-05,0
605,ARMW,Roundhill ARM WeeklyPay ETF,Financial,Exchange Traded Fund,USA,-,-,33.63,-4.54%,31965,-4.54,19.07,,,0
606,ARMY,Tema International Defense Innovation ETF,Financial,Exchange Traded Fund,USA,-,-,26.48,0.14%,57,0.14,19.07,,,0
607,AROC,Archrock Inc,Energy,Oil & Gas Equipment & Services,USA,6.06B,18.96,34.66,1.55%,1284669,1.55,18.96,6060000000.0,0.00021199158412343373,0
608,AROW,Arrow Financial Corp,Financial,Banks - Regional,USA,563.54M,12.81,34.13,0.38%,73425,0.38,12.81,563540000.0,0.0001302924368628803,0
609,ARP,PMV Adaptive Risk Parity ETF,Financial,Exchange Traded Fund,USA,-,-,31.74,-0.04%,2626,-0.04,19.07,,,0
610,ARQ,Arq Inc,Industrials,Pollution & Treatment Controls,USA,105.84M,-,2.47,4.66%,1017081,4.66,19.07,105840000.0,0.009609608752743682,0
611,ARQQ,Arqit Quantum Inc,Technology,Software - Infrastructure,United Kingdom,218.66M,-,13.97,2.80%,188351,2.8,19.07,218660000.0,0.0008613875383637266,0
612,ARQT,Arcutis Biotherapeutics Inc,Healthcare,Biotechnology,USA,2.93B,-,23.63,-1.95%,1091843,-1.95,19.07,2930000000.0,0.00037264266198885914,0
613,ARR,ARMOUR Residential REIT Inc,Real Estate,REIT - Mortgage,USA,2.05B,6.26,17.14,1.54%,2091031,1.54,6.26,2049999999.9999998,0.0010200151214536514,0
614,ARRY,Array Technologies Inc,Technology,Solar,USA,1.12B,-,7.34,-2.78%,3715010,-2.78,19.07,1120000000.0,0.003316973211324131,0
615,ARTC,Art Technology Acquisition Corp,Financial,Shell Companies,USA,341.68M,-,9.81,-0.20%,3,-0.2,19.07,341680000.0,8.780145139369745e-09,0
616,ARTL,Artelo Biosciences Inc,Healthcare,Biotechnology,USA,4.99M,-,7.04,-10.20%,429996,-10.2,19.07,4990000.0,0.0861715258173295,0
617,ARTNA,Artesian Resources Corp,Utilities,Utilities - Regulated Water,USA,334.85M,14.55,32.19,-0.37%,18137,-0.37,14.55,334850000.0,5.416455112986546e-05,0
618,ARTV,Artiva Biotherapeutics Inc,Healthcare,Biotechnology,USA,166.59M,-,6.74,-0.15%,145416,-0.15,19.07,166590000.0,0.0008728975276253225,0
619,ARTW,Art's-way Manufacturing Co. Inc,Industrials,Farm & Heavy Construction Machinery,USA,10.73M,10.18,2.07,-1.43%,6973,-1.43,10.18,10730000.0,0.0006498601444678337,0
620,ARTY,iShares Future AI & Tech ETF,Financial,Exchange Traded Fund,USA,-,-,47.73,0.29%,397085,0.29,19.07,,,0
621,ARVN,Arvinas Inc,Healthcare,Biotechnology,USA,693.98M,-,10.85,-4.24%,1289406,-4.24,19.07,693980000.0,0.0018579872592034536,0
622,ARVR,First Trust IndxxMetaverse ETF,Financial,Exchange Traded Fund,USA,-,-,44.91,-0.06%,9,-0.06,19.07,,,0
623,ARW,Arrow Electronics Inc,Technology,Electronics & Computer Distribution,USA,7.45B,13.33,145.85,-0.53%,369651,-0.53,13.33,7450000000.0,4.961758388595737e-05,0
624,ARWG,Archer Growth ETF,Financial,Exchange Traded Fund,USA,-,-,23.5,1.54%,200,1.54,19.07,,,0
625,ARWR,Arrowhead Pharmaceuticals Inc,Healthcare,Biotechnology,USA,8.55B,39.68,61.03,-3.00%,1451471,-3.0,39.68,8550000000.000001,0.00016976269003862423,0
626,ARX,Accelerant Holdings,Financial,Insurance Brokers,Cayman Islands,3.00B,-,13.41,3.95%,830589,3.95,19.07,3000000000.0,0.00027686299990771235,0
627,AS,Amer Sports Inc,Consumer Cyclical,Leisure,Finland,19.31B,43.88,33.4,-1.36%,2811152,-1.36,43.88,19310000000.0,0.0001455801139230668,0
628,ASA,ASA Gold and Precious Metals Ltd,Financial,Closed-End Fund - Equity,USA,1.19B,1.80,63.19,-2.69%,62812,-2.69,1.8,1190000000.0,5.27831932329553e-05,0
629,ASAN,Asana Inc,Technology,Software - Application,USA,1.52B,-,6.37,0.63%,3571616,0.63,19.07,1520000000.0,0.0023497473668751662,0
630,ASB,Associated Banc-Corp,Financial,Banks - Regional,USA,4.31B,9.39,25.98,-0.73%,2448622,-0.73,9.39,4310000000.0,0.0005681257539285091,0
631,ASBP,Aspire Biopharma Holdings Inc,Healthcare,Biotechnology,USA,5.12M,-,1.02,0.99%,164631,0.99,19.07,5120000.0,0.032154485907326974,0
632,ASC,Ardmore Shipping Corp,Industrials,Marine Shipping,Bermuda,642.64M,17.79,15.75,3.48%,411483,3.48,17.79,642640000.0,0.0006403009451009881,0
633,ASCE,Allspring SMID Core ETF,Financial,Exchange Traded Fund,USA,-,-,28.43,0.74%,7938,0.74,19.07,,,0
634,ASCI,abrdn International Small Cap Active ETF,Financial,Exchange Traded Fund,USA,-,-,33.26,-1.60%,122,-1.6,19.07,,,0
635,ASEA,Global X FTSE Southeast Asia ETF,Financial,Exchange Traded Fund,USA,-,-,19.43,-0.77%,39274,-0.77,19.07,,,0
636,ASG,Liberty All-Star Growth Fund Inc,Financial,Closed-End Fund - Equity,USA,304.26M,22.00,4.84,0.41%,168823,0.41,22.0,304260000.0,0.000554864259005902,0
637,ASGI,abrdn Global Infrastructure Income Fund,Financial,Closed-End Fund - Equity,USA,661.43M,8.22,22.85,0.79%,117261,0.79,8.22,661430000.0,0.00017728406607307794,0
638,ASGM,Virtus AlphaSimplex Global Macro ETF,Financial,Exchange Traded Fund,USA,-,-,28.42,-0.10%,3,-0.1,19.07,,,0
639,ASGN,ASGN Inc,Technology,Information Technology Services,USA,1.61B,14.99,39.05,1.51%,386215,1.51,14.99,1610000000.0,0.00023988509301870492,0
640,ASH,Ashland Inc,Basic Materials,Specialty Chemicals,USA,2.49B,-,54.39,-1.89%,412447,-1.89,19.07,2490000000.0,0.00016564136539532476,0
641,ASHR,Xtrackers Harvest CSI 300 China A-Shares ETF,Financial,Exchange Traded Fund,USA,-,-,32.58,-0.55%,4290877,-0.55,19.07,,,0
642,ASHS,Xtrackers Harvest CSI 500 China A-Shares Small Cap ETF,Financial,Exchange Traded Fund,USA,-,-,40.19,-0.62%,9199,-0.62,19.07,,,0
643,ASIA,Matthews Pacific Tiger Active ETF,Financial,Exchange Traded Fund,USA,-,-,34.67,-1.41%,1014,-1.41,19.07,,,0
644,ASIC,Ategrity Specialty Insurance Company Holdings,Financial,Insurance - Property & Casualty,USA,957.97M,12.90,19.93,2.31%,50670,2.31,12.9,957970000.0,5.2893096805857076e-05,0
645,ASIX,AdvanSix Inc,Basic Materials,Chemicals,USA,680.42M,14.02,25.32,0.88%,673456,0.88,14.02,680420000.0,0.000989765143602826,0
646,ASLE,AerSale Corp,Industrials,Airports & Air Services,USA,291.48M,32.19,6.17,-0.96%,196544,-0.96,32.19,291480000.0,0.0006742966904271419,0
647,ASLV,Allspring Special Large Value ETF,Financial,Exchange Traded Fund,USA,-,-,27.85,-0.12%,2136,-0.12,19.07,,,0
648,ASM,Avino Silver & Gold Mines Ltd,Basic Materials,Other Precious Metals & Mining,Canada,1.10B,37.49,6.53,-0.91%,4192799,-0.91,37.49,1100000000.0,0.0038116354510803314,0
649,ASMB,Assembly Biosciences Inc,Healthcare,Biotechnology,USA,460.18M,-,29.01,-1.43%,37857,-1.43,19.07,460180000.0,8.226563500746309e-05,0
650,ASMF,Virtus AlphaSimplex Managed Futures ETF,Financial,Exchange Traded Fund,USA,-,-,25.38,0.30%,13918,0.3,19.07,,,0
651,ASMG,Leverage Shares 2X Long ASML Daily ETF,Financial,Exchange Traded Fund,USA,-,-,31.61,-6.18%,167166,-6.18,19.07,,,0
652,ASMH,ASML Holding NV ADRhedged,Financial,Exchange Traded Fund,USA,-,-,90.15,-2.44%,2873,-2.44,19.07,,,0
653,ASML,ASML Holding NV,Technology,Semiconductor Equipment & Materials,Netherlands,507.69B,47.14,1317.23,-3.13%,1880920,-3.13,47.14,507690000000.0,3.704859264504511e-06,0
654,ASMU,Direxion Daily ASML Bull 2X ETF,Financial,Exchange Traded Fund,USA,-,-,20.61,-6.70%,135672,-6.7,19.07,,,0
655,ASND,Ascendis Pharma A/S ADR,Healthcare,Biotechnology,Denmark,14.07B,-,229.25,0.44%,752485,0.44,19.07,14070000000.0,5.348152096279449e-05,0
656,ASNS,Actelis Networks Inc,Technology,Communication Equipment,USA,9.51M,-,0.36,-0.75%,820980,-0.75,19.07,9510000.0,0.08632806663216964,0
657,ASO,Academy Sports and Outdoors Inc,Consumer Cyclical,Specialty Retail,USA,3.69B,10.32,57.35,-0.59%,1438095,-0.59,10.32,3690000000.0,0.0003897276421708055,0
658,ASPC,A SPAC III Acquisition Corp,Financial,Shell Companies,Hong Kong,25.18M,446.89,10.77,-1.73%,969,-1.73,446.89,25180000.0,3.848292142641297e-05,0
659,ASPI,ASP Isotopes Inc,Basic Materials,Chemicals,USA,536.72M,-,4.29,4.38%,3138807,4.38,19.07,536720000.0,0.005848127504381935,0
660,ASPN,Aspen Aerogels Inc,Industrials,Building Products & Equipment,USA,305.63M,-,3.69,6.34%,1372690,6.34,19.07,305630000.0,0.00449134573015952,0
661,ASPS,Altisource Portfolio Solutions S.A,Real Estate,Real Estate Services,Luxembourg,76.90M,-,6.82,6.07%,22815,6.07,19.07,76900000.0,0.00029668400134351104,0
