No,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,MarketCap_Num,PE_Num,Change_Num,Volume_Num,Cap_Category,Is_Gainer,Is_Loser,Abs_Change,Log_Volume,Log_MarketCap,Price_Band,Change_ZScore
624,ARWG,Archer Growth ETF,Financial,Exchange Traded Fund,USA,-,-,23.5,1.54%,200,,,1.54,200,Unknown,True,False,1.54,5.303304908059076,,Low,0.30280986851323277
625,ARWR,Arrowhead Pharmaceuticals Inc,Healthcare,Biotechnology,USA,8.55B,39.68,61.03,-3.00%,"1,451,471",8550000000.000001,39.68,-3.0,1451471,Mid Cap,False,True,3.0,14.188088771871508,22.86919712001204,Mid,-0.8302377095021296
626,ARX,Accelerant Holdings,Financial,Insurance Brokers,Cayman Islands,3.00B,-,13.41,3.95%,"830,589",3000000000.0,,3.95,830589,Mid Cap,True,False,3.95,13.62989157061679,21.821878125947855,Very Low,0.9042734506755729
627,AS,Amer Sports Inc,Consumer Cyclical,Leisure,Finland,19.31B,43.88,33.4,-1.36%,"2,811,152",19310000000.0,43.88,-1.36,2811152,Large Cap,False,True,1.36,14.849105277436278,23.68388893343862,Low,-0.4209429896904128
628,ASA,ASA Gold and Precious Metals Ltd,Financial,Closed-End Fund - Equity,USA,1.19B,1.80,63.19,-2.69%,"62,812",1190000000.0,1.8,-2.69,62812,Small Cap,False,True,2.69,11.047917337402854,20.897219144910185,Mid,-0.752871024659671
629,ASAN,Asana Inc,Technology,Software - Application,USA,1.52B,-,6.37,0.63%,"3,571,616",1520000000.0,,0.63,3571616,Small Cap,True,False,0.63,15.088528992385402,21.141976172462492,Very Low,0.0757012130079509
630,ASB,Associated Banc-Corp,Financial,Banks - Regional,USA,4.31B,9.39,25.98,-0.73%,"2,448,622",4310000000.0,9.39,-0.73,2448622,Mid Cap,False,True,0.73,14.711036383700437,22.184203741294088,Low,-0.2637139204944484
631,ASBP,Aspire Biopharma Holdings Inc,Healthcare,Biotechnology,USA,5.12M,-,1.02,0.99%,"164,631",5120000.0,,0.99,164631,Micro Cap,True,False,0.99,12.011467959022385,15.448665192328171,Penny,0.16554639540564484
632,ASC,Ardmore Shipping Corp,Industrials,Marine Shipping,Bermuda,642.64M,17.79,15.75,3.48%,"411,483",642640000.0,17.79,3.48,411483,Small Cap,True,False,3.48,12.927525416204814,20.281095251385914,Very Low,0.7869755736563612
633,ASCE,Allspring SMID Core ETF,Financial,Exchange Traded Fund,USA,-,-,28.43,0.74%,"7,938",,,0.74,7938,Unknown,True,False,0.74,8.979542601725113,,Low,0.10315390762946848
